Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,24.209,12.3920855880045,9.82820581117595,1.03267379900037,1.28051551076046,6,1.23076923076923,0.206896551724138,0.103448275862069,0.310344827586207,1,0.333333333333333,0.625,0.375,20,6,3,3,26,26,32
2,0,46.012,7.302442840998,5.5985395114318,0.6085369034165,0.652003825089107,7,1.06896551724138,0.233333333333333,0.0333333333333333,0.266666666666667,1,0.125,0.709677419354839,0.290322580645161,22,7,1,1,29,29,31
3,0,41.633,8.93521965748325,7.03987003316862,0.744601638123604,0.744601638123604,7,1,0.212121212121212,0,0.212121212121212,1,0,0.787878787878788,0.212121212121212,26,7,0,0,33,32,32
4,0,26.576,9.48223961468995,8.62021783153632,0.790186634557495,0.790186634557495,2,1,0.0909090909090909,0,0.0909090909090909,1,0,0.909090909090909,0.0909090909090909,20,2,0,0,22,22,22
5,0,32.163,10.0736871560489,7.798983604683,0.83947392967074,0.963840437770109,7,1.14285714285714,0.225806451612903,0.0645161290322581,0.290322580645161,1,0.222222222222222,0.666666666666667,0.333333333333333,22,7,2,2,29,28,32
6,1,56.851,6.12126435770699,5.07190475352865,0.510105363142249,0.686003764225783,6,1.33333333333333,0.171428571428571,0.142857142857143,0.314285714285714,1,0.454545454545455,0.6,0.4,24,6,5,5,30,30,40
7,1,40.642,7.97204861965454,6.97554254219773,0.664337384971212,0.861178091629349,4,1.28571428571429,0.125,0.125,0.25,1,0.5,0.666666666666667,0.333333333333333,24,4,4,4,28,28,36
8,1,44.796,7.23278864184302,6.26841682293062,0.602732386820252,0.692026073756585,4,1.14285714285714,0.133333333333333,0.0666666666666667,0.2,1,0.333333333333333,0.75,0.25,24,4,2,2,28,28,32
9,1,33.261,7.93722377559304,6.90193371790699,0.661435314632753,0.661435314632753,3,1,0.130434782608696,0,0.130434782608696,1,0,0.869565217391304,0.130434782608696,20,3,0,0,23,23,23
10,1,16.375,13.1908396946565,11.1080755323423,1.09923664122137,1.09923664122137,3,1,0.157894736842105,0,0.157894736842105,1,0,0.842105263157895,0.157894736842105,16,3,0,0,19,19,19
11,1,44.261,6.77797609633763,5.60935952800356,0.564831341361469,0.700390863288222,5,1.23076923076923,0.172413793103448,0.103448275862069,0.275862068965517,1,0.375,0.65625,0.34375,21,5,3,3,25,26,32
12,1,32.915,9.84353638158894,8.48580722550771,0.820294698465745,0.881057268722467,4,1.07142857142857,0.137931034482759,0.0344827586206897,0.172413793103448,1,0.2,0.8,0.2,24,4,1,1,28,28,30
13,1,37.731,7.95102170628926,6.72778759762937,0.662585142190771,0.662585142190771,4,1,0.153846153846154,0,0.153846153846154,1,0,0.846153846153846,0.153846153846154,22,4,0,0,26,26,26
